subject_id	subject_label	predicate_id	object_id	mapping_justification	object_source	object_source_version	comment
BACC:0000004	environmental	skos:exactMatch	ENVO:01000254	semapv:ManualMappingCuration	obo:envo.owl	2026-06-26	""
BACC:0000004	environmental	skos:narrowMatch	ENVO:00000021	semapv:ManualMappingCuration	obo:envo.owl	2026-06-26	Freshwater lakes are environmental features rather than fresh-water material.
BACC:0000004	environmental	skos:narrowMatch	ENVO:00000022	semapv:ManualMappingCuration	obo:envo.owl	2026-06-26	Rivers are environmental features rather than water material.
BACC:0000004	environmental	skos:narrowMatch	ENVO:00000077	semapv:ManualMappingCuration	obo:envo.owl	2026-06-26	An agricultural ecosystem is a type of environmental system.
BACC:0000004	environmental	skos:narrowMatch	ENVO:00000428	semapv:ManualMappingCuration	obo:envo.owl	2026-06-26	A biome is a type of environmental system.
BACC:0000004	environmental	skos:narrowMatch	ENVO:00000446	semapv:ManualMappingCuration	obo:envo.owl	2026-06-26	A terrestrial biome is a type of environmental system.
BACC:0000004	environmental	skos:narrowMatch	ENVO:00000486	semapv:ManualMappingCuration	obo:envo.owl	2026-06-26	A shoreline is a type of environmental boundary.
BACC:0000004	environmental	skos:narrowMatch	ENVO:00000873	semapv:ManualMappingCuration	obo:envo.owl	2026-06-26	A freshwater biome is an environmental system rather than fresh-water material.
BACC:0000004	environmental	skos:narrowMatch	ENVO:00010483	semapv:ManualMappingCuration	obo:envo.owl	2026-06-26	Environmental material identifies an environmental source but does not imply a narrower material class.
BACC:0000004	environmental	skos:narrowMatch	ENVO:01000219	semapv:ManualMappingCuration	obo:envo.owl	2026-06-26	An anthropogenic terrestrial biome is a type of environmental system.
BACC:0000004	environmental	skos:narrowMatch	ENVO:01000249	semapv:ManualMappingCuration	obo:envo.owl	2026-06-26	An urban biome is a type of environmental system.
BACC:0000004	environmental	skos:narrowMatch	ENVO:01000297	semapv:ManualMappingCuration	obo:envo.owl	2026-06-26	A freshwater river is an environmental feature rather than fresh-water material.
BACC:0000004	environmental	skos:narrowMatch	ENVO:01000389	semapv:ManualMappingCuration	obo:envo.owl	2026-06-26	A temperate mixed broadleaf forest is a type of environmental system.
BACC:0000004	environmental	skos:narrowMatch	ENVO:01001200	semapv:ManualMappingCuration	obo:envo.owl	2026-06-26	An anthropised terrestrial environmental zone is a type of environmental source.
BACC:0000004	environmental	skos:narrowMatch	ENVO:01001787	semapv:ManualMappingCuration	obo:envo.owl	2026-06-26	An aquatic ecosystem is a type of environmental system.
BACC:0000004	environmental	skos:narrowMatch	ENVO:01001829	semapv:ManualMappingCuration	obo:envo.owl	2026-06-26	A human settlement is an anthropised ecosystem.
BACC:0000005	built environment	skos:narrowMatch	ENVO:00002272	semapv:ManualMappingCuration	obo:envo.owl	2026-06-26	A waste treatment plant is a constructed environment, but the class is broader than BacCurate's wastewater treatment plant term.
BACC:0000005	built environment	skos:narrowMatch	ENVO:01000984	semapv:ManualMappingCuration	obo:envo.owl	2026-06-26	A grocery store is a type of constructed environment.
BACC:0000005	built environment	skos:broadMatch	ENVO:01000313	semapv:ManualMappingCuration	obo:envo.owl	2026-06-26	ENVO's anthropogenic environment includes all systems produced by human activity; built environments are narrower.
BACC:0000006	natural environment	skos:exactMatch	ENVO:01000951	semapv:ManualMappingCuration	obo:envo.owl	2026-06-26	""
BACC:0000007	food or feed	skos:exactMatch	FOODON:00002403	semapv:ManualMappingCuration	obo:foodon.owl	2025-07-31	""
BACC:0000008	laboratory	skos:narrowMatch	ENVO:02000008	semapv:ManualMappingCuration	obo:envo.owl	2026-06-26	Cell culture is in vitro growth in an artificial medium and is therefore a laboratory source.
