term_id	label	facet	parent_id	synonyms	crosslink_targets	curation_note	enables_host_recovery
BACC:0000001	host-associated	source_type		human-associated;clinical sample;clinical material;clinical specimen;clinical isolate			true
BACC:0000002	animal host	source_type	BACC:0000001	human;homo sapiens;animal;patient;patients;hospitalized patient;hospitalised patient;hospital patient;inpatient;homo sapiens clinical;bovine;pig;cattle;cow			true
BACC:0000003	plant host	source_type	BACC:0000001	plant			true
BACC:0000004	environmental	source_type		environment			false
BACC:0000007	food or feed	source_type		food			false
BACC:0000008	laboratory	source_type		lab;laboratory strain;lab strain;lab evolved;cell culture;evolution experiment;tolerance adaptive laboratory evolution experiment;synthetic			false
BACC:0000009	body fluid	body_product		bodily fluid			false
BACC:0000010	blood	body_product	BACC:0000009	blood culture;blood cultures;bloodstream;venous blood;human blood;bloodstream isolates;hemoculture	BACC:0000050		false
BACC:0000011	mammalian milk	body_product	BACC:0000009	milk			false
BACC:0000105	human milk	body_product	BACC:0000011	breast milk;human breast milk;breast_milk;maternal milk		Use only when evidence identifies human milk.	true
BACC:0000012	synovial fluid	body_product	BACC:0000009		BACC:0000059		false
BACC:0000013	cerebrospinal fluid	body_product	BACC:0000009	csf	BACC:0000052		false
BACC:0000014	urine	body_product	BACC:0000009	urine sample;urine culture;human urine	BACC:0000104		false
BACC:0000015	peritoneal fluid	body_product	BACC:0000009	ascites			false
BACC:0000016	bile	body_product	BACC:0000009				false
BACC:0000017	pus	body_product	BACC:0000009				false
BACC:0000018	respiratory secretion	body_product		respiratory secretions;tracheal secretion;airway secretion	BACC:0000026		false
BACC:0000019	sputum	body_product	BACC:0000018		BACC:0000031		false
BACC:0000020	tracheal aspirate	body_product	BACC:0000018	endotracheal aspirate	BACC:0000026		false
BACC:0000021	bronchoalveolar lavage fluid	body_product	BACC:0000018	bronchoalveolar lavage;bal;bal fluid;balf	BACC:0000034		false
BACC:0000022	digestive tract content	body_product		gut content;digestive tract contents	BACC:0000035		false
BACC:0000023	intestinal content	body_product	BACC:0000022	intestinal contents	BACC:0000039		false
BACC:0000024	caecal content	body_product	BACC:0000023	cecal content;cecal contents;caecal contents	BACC:0000040		false
BACC:0000025	feces	body_product		stool;stools;faeces;fecal;faecal;stool sample;fecal sample;faecal sample;fecal samples;faecal samples;fecal material;faecal material;feces sample;feces samples;human feces;human stool;dairy calf feces;cattle feces;mouse stool;human faeces;chicken feces;cattle faeces;feces swab;mouse feces;fecal swab	BACC:0000035		false
BACC:0000026	respiratory system	body_site		respiratory;respiratory tract			false
BACC:0000027	pleura	body_site	BACC:0000026				false
BACC:0000028	upper respiratory tract	body_site	BACC:0000026	upper respiratory system		Do NOT select for sputum; choose lower respiratory tract instead.	false
BACC:0000029	nasal cavity	body_site	BACC:0000028	nasal swab;nose;nasal;nares;nare			false
BACC:0000030	pharynx	body_site	BACC:0000028	throat;throat swab;oropharynx;oropharyngeal swab;nasopharyngeal swab	BACC:0000035		false
BACC:0000031	lower respiratory tract	body_site	BACC:0000026	lower respiratory system			false
BACC:0000032	trachea	body_site	BACC:0000031				false
BACC:0000033	bronchus	body_site	BACC:0000031				false
BACC:0000034	lung	body_site	BACC:0000031				false
BACC:0000035	digestive tract	body_site		human gut;gut;gastrointestinal tract			false
BACC:0000036	mouth	body_site	BACC:0000035	oral			false
